carID,brand,model,year,mileage,tax,mpg,engineSize,price,transmission,fuelType
18548,vw, Arteon,2019,1000,145,37.7,2,34000,Automatic,Diesel
12493,vw, Beetle,2013,38333,235,37.2,2,10400,Manual,Petrol
18806,toyota, Prius,2013,58852,10,64.2,1.8,17995,Automatic,Other
14276,vw, Amarok,2018,5673,260,33.6,3,32000,Automatic,Diesel
18194,skoda, Rapid,2015,28301,20,57.7,1.2,7990,Manual,Petrol
17162,hyundi, Santa Fe,2020,6000,150,39.2,2.2,36999,Semi-Auto,Diesel
18698,merc, S Class,2015,29036,160,50.4,3,24998,Semi-Auto,Diesel
12646,vw, Scirocco,2017,34203,145,62.8,2,17000,Automatic,Diesel
18259,toyota, Avensis,2016,29535,20,67.3,1.6,9499,Manual,Diesel
16487,bmw, M5,2012,51000,555,28.5,4.4,23995,Automatic,Petrol
17871,ford, Grand C-MAX,2017,4040,145,54.3,1,14500,Manual,Petrol
12207,hyundi, IX20,2017,10279,145,50.4,1.4,9795,Manual,Petrol
14600,vw, Scirocco,2017,24481,150,55.4,2,16299,Manual,Diesel
15106,vw, Amarok,2019,6898,260,33.6,3,34900,Automatic,Diesel
16533,vw, Scirocco,2016,17141,20,55.4,2,15940,Manual,Diesel
19146,vw, Arteon,2019,6000,145,50.4,2,28990,Automatic,Diesel
18894,vw, Amarok,2018,13764,260,36.2,3,27900,Automatic,Diesel
13800,ford, Galaxy,2016,35646,160,51.4,2,17750,Automatic,Diesel
18243,ford, KA,2013,17427,30,57.7,1.2,5300,Manual,Petrol
15659,skoda, Yeti,2017,19956,145,62.8,2,13750,Manual,Diesel
18780,ford, Galaxy,2016,27315,125,56.5,2,18000,Manual,Diesel
18933,toyota, Prius,2017,9891,0,85.6,1.8,20000,Automatic,Hybrid
14400,vw, Beetle,2016,21930,125,51.4,1.2,10941,Manual,Petrol
13598,merc, CLA Class,2020,3600,145,33.2,2,54900,Automatic,Petrol
16243,ford, Tourneo Custom,2019,1410,145,30.1,2,26922,Manual,Diesel
19046,toyota, Prius,2018,59191,135,235,1.8,18150,Automatic,Other
14995,ford, Galaxy,2016,23300,125,56.5,2,17990,Manual,Diesel
16156,vw, Caravelle,2011,86000,325,34.4,2,19995,Automatic,Diesel
12780,merc, GLS Class,2019,11607,145,37.2,3,44990,Automatic,Diesel
17230,ford, Grand Tourneo Connect,2017,4856,145,61.4,1.5,13998,Manual,Diesel
19154,toyota, Prius,2018,10549,135,94.1,1.8,20950,Automatic,Hybrid
17170,hyundi, Santa Fe,2017,12957,240,42.8,2.2,19498,Semi-Auto,Diesel
14155,bmw, i3,2017,17338,135,470.8,0,19495,Automatic,Hybrid
17308,bmw, X4,2019,6449,145,37.2,3,41999,Semi-Auto,Diesel
13255,merc, V Class,2017,41298,205,45.6,2.2,29998,Semi-Auto,Diesel
14311,bmw, X4,2019,2188,145,26.9,3,42460,Automatic,Petrol
19393,toyota, Prius,2019,3982,135,61.4,1.8,22990,Automatic,Hybrid
12301,toyota, Prius,2016,48297,0,85.6,1.8,17650,Automatic,Hybrid
18687,vauxhall, GTC,2015,32160,160,44.8,1.6,8790,Manual,Petrol
17760,audi, RS3,2017,38000,150,34,2.5,31888,Automatic,Petrol
